episode,reward_mean,success_rate,elapsed_s
7920,0.4039,0.1875,708
7968,0.4316,0.2083,713
8016,0.3413,0.0833,717
8064,0.4014,0.1667,722
8112,0.4042,0.1875,726
8160,0.4340,0.2292,730
8208,0.4188,0.2083,735
8256,0.3863,0.1458,740
8304,0.3475,0.0833,744
8352,0.3538,0.1875,748
8400,0.3250,0.1042,752
8448,0.3642,0.1667,756
8496,0.3950,0.1667,760
8544,0.3614,0.1458,765
8592,0.4967,0.3333,769
8640,0.4126,0.2083,773
8688,0.4616,0.2500,777
8736,0.4101,0.1875,781
8784,0.3953,0.1667,786
8832,0.4490,0.2500,790
8880,0.3590,0.1250,794
8928,0.3977,0.1875,799
8976,0.3425,0.1458,803
9024,0.3827,0.1667,807
9072,0.4066,0.2083,811
9120,0.3074,0.0625,816
9168,0.3652,0.1250,820
9216,0.3618,0.1458,824
9264,0.3761,0.1667,828
9312,0.3824,0.1667,832
9360,0.3401,0.1250,837
9408,0.3765,0.1667,841
9456,0.3189,0.1042,844
9504,0.4302,0.2500,848
9552,0.3077,0.0625,852
9600,0.3791,0.1875,856
9648,0.3402,0.1250,860
9696,0.3316,0.1042,864
9744,0.3489,0.1458,868
9792,0.3824,0.1667,872
9840,0.3650,0.1250,876
9888,0.3915,0.1875,881
9936,0.3464,0.1250,885
9984,0.3502,0.1042,889
10032,0.4015,0.1667,894
10080,0.3642,0.1667,898
10128,0.4465,0.2292,902
10176,0.4666,0.2917,906
10224,0.3981,0.1875,911
10272,0.3553,0.1458,915
10320,0.3612,0.1458,920
10368,0.4541,0.2917,924
10416,0.3891,0.1667,928
10464,0.3677,0.1458,932
10512,0.4217,0.2292,936
10560,0.3647,0.1250,941
10608,0.4577,0.2708,945
10656,0.4706,0.2708,950
10704,0.4575,0.2708,954
10752,0.4137,0.1667,958
10800,0.5262,0.3750,962
10848,0.4376,0.2083,966
10896,0.3192,0.1042,970
10944,0.4758,0.3125,975
10992,0.4186,0.2083,979
11040,0.3815,0.2083,983
11088,0.4280,0.2292,987
11136,0.3613,0.1458,991
11184,0.4457,0.2708,996
11232,0.4103,0.1875,1000
11280,0.4634,0.2708,1005
11328,0.4280,0.2292,1010
11376,0.4001,0.2083,1014
11424,0.3950,0.1667,1018
11472,0.4218,0.2292,1022
11520,0.3825,0.1667,1027
11568,0.4077,0.1667,1032
