id,library_index,status,family,preinsert_task_rank,seated_task_rank,preinsert_compatible,seated_compatible,required_aperture_m,quality,seated_pcb_clearance_m,preinsert_pcb_clearance_m,collision_free_insertion_travel_m,remaining_to_seat_at_collision_m,limiting_gripper_component,T_P_E_00,T_P_E_01,T_P_E_02,T_P_E_03,T_P_E_10,T_P_E_11,T_P_E_12,T_P_E_13,T_P_E_20,T_P_E_21,T_P_E_22,T_P_E_23,T_P_E_30,T_P_E_31,T_P_E_32,T_P_E_33
g_0f7dcb85a1ae61d6,1007,phase1_preinsert_only_candidate,close_z_approach_-x,141,,True,False,0.002539999962,0.742386095109,-0.008571309135,0.031428690865,0.030928690865,0.009071309135,right_lower_finger,0.257300020554,0.0,-0.966331568057,0.027519108217,-0.966331568057,0.0,-0.257300020554,0.007438599201,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_2084a09a895a9f72,1008,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742222294376,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.003793197679,0.0,-0.9999928058,0.028902464305,0.0,1.0,0.0,0.007062596679,0.9999928058,0.0,-0.003793197679,0.006268482078,0.0,0.0,0.0,1.0
g_5df20ddd6cbb4df8,1009,phase1_preinsert_only_candidate,close_z_approach_-x,1263,,True,False,0.002539999962,0.742146748581,-0.033004069134,0.006995930866,0.006495930866,0.033504069134,body,-0.001572278739,0.0,-0.999998763969,0.016563733203,-0.999998763969,0.0,0.001572278739,0.008115192611,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_fecfb5aed13833aa,1010,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742111060529,-0.099489998287,-0.059489998287,0.0,0.04,body,0.255153235504,0.0,-0.966900629026,0.028902464305,0.0,1.0,0.0,0.007062596679,0.966900629026,0.0,0.255153235504,0.006268482078,0.0,0.0,0.0,1.0
g_7c58fb356487d0ec,1011,phase1_preinsert_only_candidate,close_z_approach_+x,1222,,True,False,0.002539999962,0.742106400597,-0.032669905158,0.007330094842,0.006830094842,0.033169905158,body,0.001572278739,0.0,0.999998763969,0.019522870644,0.999998763969,0.0,-0.001572278739,0.007759697696,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_eabcc03a3cfad088,1012,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742040256683,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.03009108442,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.006342682742,0.0,0.0,0.0,1.0
g_1910c6a495155f9a,1013,phase1_preinsert_only_candidate,close_z_approach_-x,1161,,True,False,0.002539999962,0.741976568232,-0.031918840941,0.008081159059,0.007581159059,0.032418840941,body,-0.001572278739,0.0,-0.999998763969,0.023012333069,-0.999998763969,0.0,0.001572278739,0.009200420804,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_4870825c0156a22d,1014,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.741737897881,-0.099489998287,-0.059489998287,0.0,0.04,body,0.496711397348,0.0,-0.867915772264,0.029162292325,0.0,1.0,0.0,0.007062596679,0.867915772264,0.0,0.496711397348,0.006437361579,0.0,0.0,0.0,1.0
g_ab835f9ae7f74485,1015,rejected_preinsert_pcb_collision,close_z_approach_+x,,,False,False,0.002539999962,0.741734419265,-0.093149027999,-0.053149027999,0.0,0.04,body,-0.257300020554,0.0,0.966331568057,0.013848946307,0.966331568057,0.0,0.257300020554,0.00703451909,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_0f4be288dedeac74,1016,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.741560546828,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.003793197679,0.0,-0.9999928058,0.027825406175,0.0,1.0,0.0,0.007062596679,0.9999928058,0.0,-0.003793197679,0.006428690686,0.0,0.0,0.0,1.0
